
2025/01/11 (13:32:23) | ===> btop++ v.1.4.0
2025/01/11 (13:32:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:21:59) | ===> btop++ v.1.4.0
2025/01/13 (22:21:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:22:20) | ===> btop++ v.1.4.0
2025/01/13 (22:22:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (01:27:42) | ===> btop++ v.1.4.0
2025/01/18 (01:27:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (01:28:14) | ===> btop++ v.1.4.0
2025/01/18 (01:28:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (01:29:29) | ===> btop++ v.1.4.0
2025/01/18 (01:29:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (01:59:08) | ===> btop++ v.1.4.0
2025/01/22 (01:59:08) | WARNING: Intel GPU: Failed to initialize PMU
