[2024-12-07 01:54:15.878] [info]  DiscordSplash.signalReady
[2024-12-07 01:54:15.929] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-07 01:54:15.930] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-07 01:54:15.933] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-07 01:54:15.935] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-07 01:54:15.936] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-07 01:54:15.936] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-07 01:54:15.937] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-07 01:54:15.937] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-07 01:54:15.937] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-07 01:54:15.938] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-07 01:54:15.938] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-07 01:54:15.938] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-07 01:54:15.938] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-07 01:54:15.938] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-07 01:54:16.283] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-07 01:54:16.283] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-07 01:54:17.351] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-07 01:54:17.351] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-07 01:54:17.465] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-07 01:54:17.466] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-07 01:54:17.466] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-07 01:54:17.466] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
